dict_key,train_err_list,test_acc_dict,time_to_update_list,epochs_list,converge_test_accuracy
char_rnn_dropout_0.3,"[2.6764958, 2.6622608, 2.6524842, 2.650753, 2.6498582, 2.4937952, 2.400099, 2.291273, 2.205551, 2.1096184, 2.0257063, 1.9475948, 1.8783524, 1.8168604, 1.7655284, 1.7549943, 1.7599331, 1.6797819, 1.6371988, 1.598883, 1.57097, 1.5573647, 1.5760293, 1.5220338, 1.4722027, 1.5279992, 1.4616826, 1.4408475, 1.4168807, 1.4223517, 1.4404668, 1.4060154, 1.3838065, 1.4099855, 1.3596036]","[0.06714286, 0.10142857, 0.058571428, 0.087142855, 0.071428575, 0.14, 0.17571428, 0.19428572, 0.21571429, 0.24428572, 0.2742857, 0.30571428, 0.31428573, 0.27714285, 0.31428573, 0.34, 0.34714285, 0.34571427, 0.3342857, 0.33571428, 0.35285714, 0.36285713, 0.36, 0.35857144, 0.38142857, 0.39571428, 0.36857143, 0.3642857, 0.38285714, 0.36571428, 0.37, 0.35857144, 0.35428572, 0.33571428, 0.37]",251.6436002254486,35,0.3700000047683716
word_rnn_dropout_0.3,"[2.672036, 2.6566327, 2.5445366, 1.9511496, 1.4375627, 1.0805264, 0.85032, 0.76222634, 0.65910584, 0.6140945, 0.5848708, 0.53157854, 0.5037174, 0.49031842, 0.59089553, 0.5430066, 0.529441, 0.7579568, 0.6239154, 0.5446923, 0.54425377, 0.48904005, 0.46997544, 0.443276, 0.4786083, 0.44934347, 0.46651748, 0.4348885, 0.43095693, 0.43149373, 0.4013204, 0.39814112, 0.5622311, 0.45693785]","[0.058571428, 0.071428575, 0.11, 0.23, 0.41142857, 0.5542857, 0.6042857, 0.5885714, 0.65, 0.64285713, 0.7, 0.6757143, 0.68714285, 0.6628571, 0.6414286, 0.68142855, 0.6857143, 0.58, 0.6457143, 0.63857144, 0.64, 0.67714286, 0.6857143, 0.67714286, 0.68, 0.6628571, 0.6957143, 0.6842857, 0.69714284, 0.71428573, 0.7114286, 0.7228571, 0.6571429, 0.67142856]",265.0595998764038,34,0.6714285612106323
char_cnn_dropout_0.5,"[2.6636827, 2.653026, 2.6492248, 2.5654373, 2.4161718, 2.2967296, 2.164533, 1.9832681, 1.8842394, 1.8435358, 1.8100325, 1.7201494, 1.6801932, 1.6891087, 1.6405028, 1.5866857, 1.566361, 1.5126718, 1.4818869, 1.4703261, 1.4357243, 1.4256196, 1.4011198, 1.3657686, 1.3563509, 1.3428129, 1.3211964, 1.2918669, 1.3234018, 1.2855024, 1.292018, 1.2626011, 1.2488436, 1.218984, 1.2063767, 1.2253494, 1.1720997, 1.1626431, 1.1504221]","[0.07, 0.068571426, 0.06714286, 0.11285714, 0.16571428, 0.20714286, 0.24714285, 0.28857142, 0.3342857, 0.34428573, 0.33571428, 0.3642857, 0.37428573, 0.36142856, 0.36571428, 0.3857143, 0.3942857, 0.37, 0.3942857, 0.39142856, 0.40142858, 0.39714286, 0.41, 0.4242857, 0.40571427, 0.41714287, 0.4, 0.43142858, 0.42285714, 0.4157143, 0.43142858, 0.42714286, 0.43, 0.40714285, 0.44714287, 0.43285716, 0.41428572, 0.42857143, 0.43]",278.30400109291077,39,0.4300000071525574
word_cnn_dropout_0.5,"[2.6581123, 2.632, 1.9817686, 1.4693457, 0.880735, 0.59604144, 0.33624065, 0.25736526, 0.26193023, 0.16518772, 0.16057289, 0.16320844, 0.17135833, 0.13163565, 0.16849382, 0.11773297, 0.533275, 0.25750732, 0.18689723, 0.1521289, 0.13675362, 0.13753311, 0.12556306, 0.1039414, 0.10728232, 0.09946616, 0.097790256, 0.10026325, 0.09110496, 0.086363524, 0.08366598, 0.08528847, 0.0838759, 0.08259064, 0.080964245, 0.07003712]","[0.07857143, 0.08571429, 0.18714286, 0.37714285, 0.5542857, 0.7185714, 0.80142856, 0.81714284, 0.83285713, 0.85, 0.8428571, 0.8257143, 0.8457143, 0.82714283, 0.8385714, 0.8485714, 0.71428573, 0.81, 0.8385714, 0.8442857, 0.8542857, 0.8371429, 0.85714287, 0.8542857, 0.85, 0.86142856, 0.86285716, 0.87142855, 0.8485714, 0.86714286, 0.86, 0.8485714, 0.85571426, 0.8471429, 0.8457143, 0.85571426]",274.85640120506287,36,0.8557142615318298
char_rnn_dropout_0.5,"[2.667254, 2.6570754, 2.6521235, 2.637249, 2.4122756, 2.1110938, 1.9884552, 1.9318466, 1.8372059, 1.8226436, 1.7899859, 1.7048383, 1.7130154, 1.6576811, 1.5948772, 1.5699526, 1.538763, 1.5062903, 1.4968231, 1.4743134, 1.4448581, 1.4342767, 1.4160691, 1.3738039, 1.3572185, 1.3805048, 1.3651891, 1.3040209, 1.3097712, 1.2769362, 1.2848977, 1.3629172, 1.2964971, 1.259052, 1.2215214, 1.1887956, 1.2924992]","[0.07857143, 0.06428572, 0.07714286, 0.092857145, 0.14857143, 0.2557143, 0.3, 0.30285713, 0.31857142, 0.34285715, 0.33142856, 0.37428573, 0.35428572, 0.35714287, 0.36571428, 0.3942857, 0.40428573, 0.39714286, 0.38142857, 0.37428573, 0.38714287, 0.38428572, 0.39142856, 0.39571428, 0.39857143, 0.40428573, 0.41, 0.38857144, 0.41714287, 0.4, 0.39714286, 0.4, 0.41857144, 0.40857142, 0.40428573, 0.42714286, 0.38857144]",261.5339994430542,37,0.38857144117355347
word_rnn_dropout_0.5,"[2.6675763, 2.330148, 1.8330804, 1.549488, 1.3555973, 1.1080863, 0.9722059, 0.8815915, 0.5822594, 0.4245618, 0.3081973, 0.3075588, 0.31445983, 0.22748892, 0.1909133, 0.16504441, 0.14559822, 0.13283394, 0.11154648, 0.10503555, 0.09235894, 0.086713, 0.0847172, 0.0755295, 0.0800214, 0.07040108, 0.06892721, 0.06362319, 0.06293795, 0.06610914, 0.07518375, 0.063789, 0.06681353, 0.31993908, 0.1891198]","[0.084285714, 0.15285714, 0.19571428, 0.29, 0.4242857, 0.47285715, 0.53, 0.64, 0.6942857, 0.7714286, 0.7785714, 0.7942857, 0.7714286, 0.81714284, 0.83, 0.83, 0.82857144, 0.83428574, 0.8542857, 0.85142857, 0.85714287, 0.85142857, 0.8585714, 0.85142857, 0.8385714, 0.8542857, 0.8542857, 0.86714286, 0.8528572, 0.85142857, 0.8414286, 0.8414286, 0.86, 0.79, 0.82285714]",259.28759932518005,35,0.822857141494751
char_cnn_dropout_0.7,"[2.6592364, 2.6513038, 2.6475356, 2.5120707, 2.3539352, 2.1762846, 2.0352972, 1.9952421, 1.9002304, 1.8092217, 1.7399358, 1.6876554, 1.6440028, 1.6235243, 1.5287824, 1.5270635, 1.4804275, 1.4374605, 1.4134831, 1.348295, 1.3487215, 1.2965825, 1.3163581, 1.2592049, 1.2556186, 1.2068763, 1.2347507, 1.23815, 1.1892642, 1.118223, 1.1351274, 1.1519223, 1.0945835, 1.089107, 1.1754656, 1.0886692, 1.0979258]","[0.057142857, 0.07571428, 0.07, 0.122857146, 0.19142857, 0.22857143, 0.26, 0.24428572, 0.27857143, 0.32714286, 0.33714285, 0.33571428, 0.34571427, 0.34142858, 0.3642857, 0.37714285, 0.39714286, 0.40285715, 0.40428573, 0.4, 0.39285713, 0.41714287, 0.42142856, 0.41428572, 0.40285715, 0.40714285, 0.42, 0.40714285, 0.40714285, 0.4557143, 0.43571427, 0.42714286, 0.3942857, 0.43142858, 0.39142856, 0.43285716, 0.42142856]",273.8736002445221,37,0.4214285612106323
word_cnn_dropout_0.7,"[2.6524246, 2.1891491, 1.6874895, 1.170693, 0.77208394, 0.47709203, 0.2847424, 0.16635095, 0.108607605, 0.09117079, 0.07189267, 0.07946177, 0.0628503, 0.0889973, 0.052023675, 0.039353352, 0.032636814, 0.02821175, 0.026550038, 0.02243823, 0.024251599, 0.020110317, 0.018009176, 0.01788758, 0.020122446, 0.09152967, 0.06469142, 0.060897637, 0.033986058, 0.026534498, 0.017833726, 0.014014919, 0.01532578, 0.012375022, 0.012327733, 0.012924518]","[0.08, 0.17714286, 0.25142857, 0.49714285, 0.6142857, 0.7157143, 0.81285715, 0.84, 0.84, 0.84, 0.8371429, 0.8357143, 0.8357143, 0.8442857, 0.85142857, 0.8657143, 0.8685714, 0.8742857, 0.87142855, 0.87714285, 0.8814286, 0.87142855, 0.87, 0.87714285, 0.8657143, 0.82857144, 0.82714283, 0.8428571, 0.85571426, 0.86714286, 0.86714286, 0.86142856, 0.8742857, 0.87142855, 0.87142855, 0.87]",278.5380005836487,36,0.8700000047683716
char_rnn_dropout_0.7,"[2.6643379, 2.6512983, 2.644487, 2.4497306, 2.1554394, 1.9591367, 1.82299, 1.7689573, 1.6873294, 1.6085482, 1.5595971, 1.5123636, 1.4688745, 1.4203373, 1.3800833, 1.3510851, 1.3136858, 1.3306371, 1.2584072, 1.2474543, 1.2206659, 1.1800747, 1.1551095, 1.1265056, 1.1157429, 1.1180744, 1.1405202, 1.1170648, 1.0869745, 1.0683945, 1.0359683, 1.0007156, 1.0034219, 1.0013868, 1.0248824, 1.0179464, 1.059138]","[0.068571426, 0.054285713, 0.06714286, 0.16, 0.24571429, 0.29857144, 0.31428573, 0.34428573, 0.38714287, 0.37857142, 0.4157143, 0.39857143, 0.43285716, 0.43571427, 0.42857143, 0.43857142, 0.44428572, 0.4157143, 0.45857143, 0.44142857, 0.44142857, 0.47, 0.4642857, 0.4542857, 0.46857142, 0.46857142, 0.4757143, 0.46142858, 0.45714286, 0.4485714, 0.47857141, 0.4557143, 0.44142857, 0.4557143, 0.43, 0.44285715, 0.45285714]",270.95640110969543,37,0.4528571367263794
word_rnn_dropout_0.7,"[2.6570969, 2.1275225, 1.4304587, 0.98281294, 0.593965, 0.3362522, 0.26594007, 0.29156047, 0.139063, 0.12703618, 0.12623, 0.07386404, 0.061841052, 0.049229164, 0.03720709, 0.02892186, 0.027569998, 0.023183588, 0.021307055, 0.02086996, 0.018318994, 0.015755115, 0.018413067, 0.058237527, 0.024873056, 0.0191263, 0.016466012, 0.015975876, 0.015827054, 0.011653766, 0.014017205, 0.013921394, 0.009992466, 0.013177642, 0.12024626]","[0.06714286, 0.17285714, 0.4, 0.56285715, 0.73, 0.75714284, 0.7871429, 0.81285715, 0.87, 0.85714287, 0.80857146, 0.8585714, 0.85571426, 0.8685714, 0.87142855, 0.8814286, 0.8757143, 0.87714285, 0.8814286, 0.88, 0.88714284, 0.88285714, 0.86714286, 0.81, 0.8442857, 0.8442857, 0.8528572, 0.85714287, 0.8657143, 0.86, 0.8585714, 0.86285716, 0.8657143, 0.86, 0.82]",264.4979999065399,35,0.8199999928474426
