,early_stop_epoch,name,test_acc,time_taken_one_epoch,train_err
0,23,q1_char_cnn,"[0.20142858, 0.35285714, 0.42714286, 0.43, 0.43, 0.40571427, 0.41428572, 0.42285714, 0.42714286, 0.4242857, 0.4242857, 0.40428573, 0.41428572, 0.40857142, 0.41142857, 0.40285715, 0.40428573, 0.37714285, 0.39571428, 0.3857143, 0.39142856, 0.3857143, 0.38428572]",849.8608236727507,"[2.2837112, 1.7353448, 1.4007769, 1.2080476, 1.0276821, 0.91845757, 0.8144028, 0.7185728, 0.6582463, 0.59963405, 0.54499257, 0.5180687, 0.47463554, 0.43265852, 0.4191957, 0.36350554, 0.35316724, 0.38779044, 0.32947338, 0.313819, 0.29566327, 0.3153226, 0.2876477]"
1,24,q2_word_cnn,"[0.16285715, 0.58, 0.80142856, 0.8357143, 0.8428571, 0.83285713, 0.8471429, 0.85142857, 0.85, 0.85142857, 0.8528572, 0.8542857, 0.85571426, 0.8542857, 0.8542857, 0.8542857, 0.8542857, 0.8542857, 0.8542857, 0.8542857, 0.8542857, 0.85571426, 0.85571426, 0.8542857]",234.00002717971802,"[2.1954868, 0.8790245, 0.13324986, 0.025361722, 0.00916538, 0.0034459066, 0.0011797281, 0.0007801463, 0.0005833185, 0.00046893067, 0.00037957003, 0.00032513743, 0.0002742663, 0.00023538369, 0.00020654761, 0.00018232763, 0.00016297419, 0.00014640865, 0.00013209673, 0.00012000059, 0.000110415545, 0.00010110525, 9.285896e-05, 8.5803906e-05]"
2,34,q3_char_rnn,"[0.071428575, 0.07285714, 0.18857142, 0.26857144, 0.34714285, 0.37, 0.35, 0.38285714, 0.42857143, 0.43, 0.43142858, 0.44, 0.4757143, 0.46, 0.4242857, 0.45714286, 0.47, 0.46857142, 0.4642857, 0.4557143, 0.47142857, 0.48285714, 0.4757143, 0.48142856, 0.4642857, 0.4757143, 0.47428572, 0.46142858, 0.47142857, 0.48714286, 0.48142856, 0.47428572, 0.46285716, 0.4842857]",7446.247051743901,"[2.6465344, 2.642521, 2.4379444, 2.1579328, 1.8953731, 1.7655818, 1.7459337, 1.6363921, 1.5250217, 1.4791293, 1.4500296, 1.3603371, 1.3251467, 1.2691609, 1.3294837, 1.2214805, 1.1981157, 1.155351, 1.1158668, 1.1049294, 1.0667096, 1.0587491, 1.0363628, 1.0195203, 1.0031545, 0.99174523, 0.9721745, 0.9628915, 0.93320465, 0.90594494, 0.9112882, 0.898595, 0.8734947, 0.8848061]"
3,29,q4_word_rnn,"[0.07714286, 0.12857144, 0.30714285, 0.37285715, 0.5885714, 0.6542857, 0.69285715, 0.7385714, 0.75285715, 0.7271429, 0.74857146, 0.75285715, 0.75285715, 0.7385714, 0.76, 0.7614286, 0.76285714, 0.76, 0.76428574, 0.7657143, 0.76714283, 0.76428574, 0.76285714, 0.76, 0.76285714, 0.76, 0.7557143, 0.75142854, 0.7557143]",7715.544832163844,"[2.643054, 2.0886192, 1.6628265, 1.1921818, 0.68080395, 0.33792242, 0.16849025, 0.07084471, 0.03798749, 0.02705889, 0.017746173, 0.013680928, 0.010859726, 0.010133905, 0.008628922, 0.006382204, 0.0055131963, 0.004882403, 0.0043899626, 0.004010754, 0.0036969942, 0.0033977248, 0.0031236026, 0.0029019502, 0.002668022, 0.0024859544, 0.0022796367, 0.0021300642, 0.0019557993]"
4,24,q5_char_cnn_0.1,"[0.24285714, 0.34571427, 0.39857143, 0.38857144, 0.42285714, 0.44285715, 0.41714287, 0.39571428, 0.40714285, 0.41285715, 0.39285713, 0.38428572, 0.39714286, 0.39714286, 0.40714285, 0.39571428, 0.39, 0.38285714, 0.39285713, 0.39, 0.3857143, 0.38285714, 0.39, 0.39285713]",722.1500476201376,"[2.3463898, 1.8423706, 1.5595369, 1.3933455, 1.210619, 1.1061554, 1.0280018, 0.9207473, 0.82866234, 0.79560816, 0.7083095, 0.66209584, 0.62619114, 0.5622866, 0.545729, 0.50056523, 0.48921928, 0.44823593, 0.42085788, 0.37799668, 0.3773747, 0.32518643, 0.33203056, 0.33503205]"
5,24,q5_word_cnn_0.1,"[0.42, 0.67285717, 0.8357143, 0.8657143, 0.8742857, 0.86285716, 0.8642857, 0.8842857, 0.86714286, 0.87857145, 0.87857145, 0.8757143, 0.8814286, 0.87857145, 0.8757143, 0.8742857, 0.8814286, 0.8814286, 0.88285714, 0.87857145, 0.8814286, 0.87714285, 0.88285714, 0.87714285]",238.5500172773997,"[1.6790938, 0.5607805, 0.14646769, 0.025124503, 0.009208882, 0.0058614723, 0.003674313, 0.0027429888, 0.0025747912, 0.0020547435, 0.0018430013, 0.0018807969, 0.0015094501, 0.0013763077, 0.0014338262, 0.0014320791, 0.0012724603, 0.0012257788, 0.0011903137, 0.0011322562, 0.0010848537, 0.0010277834, 0.0009859041, 0.0008911898]"
6,33,q5_char_rnn_0.1,"[0.071428575, 0.071428575, 0.14857143, 0.25428572, 0.31, 0.33142856, 0.34142858, 0.35857144, 0.40142858, 0.40571427, 0.42142856, 0.41, 0.44428572, 0.43571427, 0.4342857, 0.4542857, 0.46, 0.46, 0.46, 0.46857142, 0.4757143, 0.4557143, 0.4642857, 0.48, 0.4542857, 0.46571428, 0.46142858, 0.47428572, 0.46, 0.4642857, 0.45714286, 0.44, 0.46]",7462.472662781223,"[2.647581, 2.643033, 2.4570549, 2.2483456, 1.9573857, 1.8463479, 1.7868636, 1.6745994, 1.6117737, 1.5454348, 1.5015852, 1.4258797, 1.3847549, 1.3315336, 1.3047491, 1.2409832, 1.2228755, 1.1823742, 1.1565424, 1.1290305, 1.1007192, 1.1185925, 1.0885586, 1.0616838, 1.0108302, 1.0181394, 1.0274929, 0.9651792, 0.973719, 0.98920417, 0.9314146, 0.94792295, 0.9256471]"
7,29,q5_word_rnn_0.1,"[0.074285716, 0.13428572, 0.19285715, 0.27, 0.43285716, 0.5714286, 0.5914286, 0.5928571, 0.6757143, 0.6414286, 0.6314286, 0.6414286, 0.6257143, 0.62714285, 0.6585714, 0.6585714, 0.6628571, 0.6542857, 0.66714287, 0.67285717, 0.67142856, 0.6742857, 0.67142856, 0.67285717, 0.67, 0.67, 0.67142856, 0.67285717, 0.67285717]",7838.193128848899,"[2.6402583, 2.097285, 1.9387188, 1.568784, 1.006602, 0.55193, 0.24370763, 0.11622404, 0.20453225, 0.0643624, 0.03462864, 0.05147864, 0.0339532, 0.06474396, 0.015952, 0.009475524, 0.0075182277, 0.0067685666, 0.0057692644, 0.005077713, 0.00454019, 0.0040949197, 0.0037260468, 0.0034110085, 0.0031353668, 0.0028940286, 0.0026832107, 0.002495908, 0.0023272769]"
8,23,q5_char_cnn_0.3,"[0.14857143, 0.23142858, 0.32285714, 0.34142858, 0.35714287, 0.36, 0.35285714, 0.37142858, 0.35714287, 0.37714285, 0.34857142, 0.33571428, 0.34857142, 0.36571428, 0.35, 0.35714287, 0.33857143, 0.37285715, 0.36714286, 0.35285714, 0.35428572, 0.36571428, 0.36714286]",710.8174199643342,"[2.41467, 2.0157351, 1.7377726, 1.5704287, 1.3791372, 1.2446779, 1.1305215, 1.0322964, 0.9795808, 0.8995805, 0.81742084, 0.79736644, 0.7281851, 0.68037575, 0.6423228, 0.6073813, 0.6225709, 0.5771192, 0.5090532, 0.46028414, 0.45640618, 0.4155434, 0.3836508]"
9,24,q5_word_cnn_0.3,"[0.37142858, 0.82, 0.8542857, 0.86142856, 0.8685714, 0.86285716, 0.86285716, 0.8685714, 0.8685714, 0.86285716, 0.8685714, 0.86714286, 0.8685714, 0.8685714, 0.8685714, 0.8685714, 0.86714286, 0.8657143, 0.86714286, 0.8657143, 0.8685714, 0.86714286, 0.8685714, 0.86714286]",226.19999448458353,"[1.5438989, 0.17446455, 0.026960738, 0.008108459, 0.0029132515, 0.0014580978, 0.0013971876, 0.0011868506, 0.00048621796, 0.00035069115, 0.00028214476, 0.00023803073, 0.00020286354, 0.00017776768, 0.00015653242, 0.00013892485, 0.00012443835, 0.000112258975, 0.00010216605, 9.323613e-05, 8.5973144e-05, 7.896721e-05, 7.293558e-05, 6.765302e-05]"
